item_id,code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result
11391,0,0,0,0,0,0,0,0,0,0,0,0
28400,0,0,0,0,0,0,0,0,0,0,0,0
30268,0,0,0,0,0,0,0,0,0,0,0,0
31604,0,0,0,0,0,0,0,0,0,0,0,0
32885,0,0,0,0,0,0,0,0,0,0,0,0
38053,0,0,0,0,0,0,0,0,0,0,0,0
45462,0,0,0,0,0,0,0,0,0,0,0,0
45642,0,0,0,0,0,0,0,0,0,0,0,0
52130,0,0,0,0,0,0,0,0,0,0,0,0
53025,0,0,0,0,0,0,0,0,0,0,0,0
57506,0,0,0,0,0,0,0,0,0,0,0,0
58873,0,0,0,0,0,0,0,0,0,0,0,0
59185,0,0,0,0,0,0,0,0,0,0,0,0
62155,0,0,0,0,0,0,0,0,0,0,0,0
63400,0,0,0,0,0,0,0,0,0,0,0,0
65002,0,0,0,0,0,0,0,0,0,0,0,0
70464,0,0,0,0,0,0,0,0,0,0,0,0
71361,0,0,0,0,0,0,0,0,0,0,0,0
74372,0,0,0,0,0,0,0,0,0,0,0,0
75091,0,0,0,0,0,0,0,0,0,0,0,0
77367,0,0,0,0,0,0,0,0,0,0,0,0
91265,0,0,0,0,0,0,0,0,0,0,0,0
94961,0,0,0,0,0,0,0,0,0,0,0,0
98094,0,0,0,0,0,0,0,0,0,0,0,0
100893,0,0,0,0,0,0,0,0,0,0,0,0
101781,0,0,0,0,0,0,0,0,0,0,0,0
102806,0,0,0,0,0,0,0,0,0,0,0,0
102952,0,0,0,0,0,0,0,0,0,0,0,0
104476,0,0,0,0,0,0,0,0,0,0,0,0
106247,0,0,0,0,0,0,0,0,0,0,0,0
106577,0,0,0,0,0,0,0,0,0,0,0,0
110175,0,0,0,0,0,0,0,0,0,0,0,0
111717,0,0,0,0,0,0,0,0,0,0,0,0
113295,0,0,0,0,0,0,0,0,0,0,0,0
114017,0,0,0,0,0,0,0,0,0,0,0,0
114999,0,0,0,0,0,0,0,0,0,0,0,0
116541,0,0,0,0,0,0,0,0,0,0,0,0
116692,0,0,0,0,0,0,0,0,0,0,0,0
118983,0,0,0,0,0,0,0,0,0,0,0,0
123044,0,0,0,0,0,0,0,0,0,0,0,0
127582,0,0,0,0,0,0,0,0,0,0,0,0
129955,0,0,0,0,0,0,0,0,0,0,0,0
132976,0,0,0,0,0,0,0,0,0,0,0,0
